Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(1999 JO6),3.8596873133598573,0.4965744861103633,27.864973098448896,19,1,"1,512.8",1.298341704482464,358780350.0348224,120688401.25640401
189058 (2000 UT16),3.8841814813480915,0.5114188802005835,26.23314263037786,129,0,"1,504.8",1.255600126822125,361057225.1936498,116715323.40086447
(1996 KE),3.944020856556562,0.5348125262370662,24.246217157601553,12,6,"1,504.6",1.195396224207308,366619642.62286675,111119021.0323175
(1999 TU16),3.8666864065797872,0.504742125935646,18.81204278714736,11,8,"1,504.6",1.272647888557977,359430956.39526016,118300011.8552188
(2002 RB182),4.229140749774657,0.6522871352656534,0.2282811695944311,9,9,"1,495.7",0.8899946105508341,393123192.4665537,82730167.49239516
153306 (2001 JL1),3.888848924119862,0.5227955371259507,26.98032572040052,107,0,"1,490.6",1.2186639747680401,361491091.1044004,113281893.56911777
453100 (2007 WU4),3.848597864409401,0.5073444275910929,29.22052374987857,31,0,"1,490.2",1.2578632654597641,357749521.35541975,116925695.27989697
(2000 WT28),4.1069479787652865,0.6105237338400407,5.6534300241150275,11,7,"1,487.4",0.9931916745298744,381764664.7944497,92322933.88277298
(2002 YR5),3.998363952199198,0.5684298763077473,22.85505547435465,10,9,"1,486.7",1.1001922696597948,371671148.9480432,102269260.58176894
(2002 BM),4.0996993387967064,0.6082566080652131,11.885335198506189,8,9,"1,486.6",0.998615592088338,381090861.6145388,92827118.5180023
(2001 UO),4.26567680242711,0.6737435782516062,10.082947212098052,7,8,"1,486.1",0.8314920325781172,396519430.7354322,77292013.12938812
(2000 XF44),3.9771346361193185,0.5645347976795542,13.28391184438654,12,7,"1,480.4",1.106976809683001,369697760.73398376,102899922.97660223
(2002 GK1),4.121942385452078,0.6251016584966804,13.67246202586736,12,8,"1,475.5",0.9509001212316328,383158481.97260046,88391688.40510473
(1999 XN141),4.098521469140842,0.6205340758040325,7.375696079826124,11,9,"1,469.1",0.9597139982094498,380981371.7898155,89210989.45478284
397237 (2006 KZ112),4.7642866050180475,0.8868673561107936,37.783555240813996,48,0,"1,465.5",0.2856567199204723,442868107.449517,26553451.003172193
(2002 TZ59),4.635721913629314,0.8366256239216363,16.34787156890106,8,9,"1,464.7",0.4123639382177658,430917272.77466977,38331622.76731664
(2000 WH10),4.188319607880061,0.6613388252423401,13.2646792156845,12,9,"1,462.1",0.8537820323667553,389328630.2679348,79363998.05385655
(2000 RK12),4.252650061979085,0.6881548280236616,31.962043946594356,12,9,"1,460.4",0.7855727258652049,395308519.5609499,73023546.90447168
(2003 FB5),4.503069991500702,0.7887179473307819,5.351603597751058,10,8,"1,459.0",0.5318993262952281,418586506.2668861,49443131.263751596
